Id,SalePrice
1461,154691.51866526346
1462,174540.7411811324
1463,180296.9313271083
1464,178815.0288199538
1465,176544.05914977015
1466,175247.17602306075
1467,166959.6914052175
1468,166495.78839810795
1469,180337.10107188483
1470,147993.18063420168
1471,181961.04588283156
1472,133005.01843812526
1473,140400.2420914982
1474,169445.49260203677
1475,138382.15048628897
1476,238802.90705150558
1477,206268.05280143503
1478,213553.70031884598
1479,221122.183211939
1480,295521.6519456106
1481,237475.62553826233
1482,182490.5610760037
1483,177572.69326997496
1484,164687.4807458667
1485,155573.14360261837
1486,180928.59576867864
1487,251830.84033901678
1488,210342.1914510334
1489,176905.92431200456
1490,190922.244965071
1491,178730.28470838247
1492,151546.3483120563
1493,186243.4425127948
1494,228739.48937348597
1495,226659.39295852146
1496,191751.0197621412
1497,182899.300445662
1498,151910.98906119727
1499,151910.98906119727
1500,153460.82482323796
1501,168880.4682091017
1502,145101.3907746197
1503,200237.87875097618
1504,194305.0551760836
1505,194634.7779428672
1506,217516.64172307984
1507,233285.0467974794
1508,206986.49713621946
1509,176369.31099105353
1510,172574.08203482855
1511,171295.6368190365
1512,193676.16476550934
1513,182902.90593102525
1514,194728.5548316714
1515,231014.08361918686
1516,175690.30144362224
1517,159151.41336823927
1518,202247.29320942005
1519,194448.47106028363
1520,160827.03946704816
1521,165548.16351131684
1522,191113.25661407222
1523,158534.80228276705
1524,152087.0881930092
1525,148238.78597336146
1526,148228.06348709072
1527,153220.54759414724
1528,153678.5606420757
1529,168234.03550190586
1530,183051.454856752
1531,182183.90708721185
1532,136825.1278845663
1533,182738.1134314991
1534,154019.8945192533
1535,176477.25282813216
1536,162079.29769681068
1537,149175.56590290196
1538,172059.11057282388
1539,205591.1517453491
1540,194740.7400331999
1541,173622.88095021638
1542,178521.8737184693
1543,200516.20467374264
1544,130081.73301298046
1545,142313.81898273004
1546,157469.61239106848
1547,164612.504801591
1548,161783.5702070326
1549,147280.63275807383
1550,176235.6041278256
1551,155678.51558350946
1552,196021.85298969471
1553,158999.68226950345
1554,150475.2725784391
1555,197248.95711847697
1556,147478.52722127183
1557,164752.77366118526
1558,132644.35057425132
1559,173996.54417922068
1560,180510.7882284236
1561,202332.03513785693
1562,145130.61048444008
1563,139623.05394180247
1564,184912.59801200088
1565,165850.35477513677
1566,195658.8419743699
1567,134772.88293733733
1568,202283.80277863942
1569,181847.88062494184
1570,153677.23747553825
1571,168746.22134620757
1572,164617.2003125875
1573,195113.52637568864
1574,177021.9441773752
1575,188363.38140048934
1576,203938.135196163
1577,175442.02903491165
1578,166996.95220957493
1579,154100.15169166157
1580,182591.9195068646
1581,152273.12412258945
1582,146374.02962162247
1583,237479.69767615007
1584,207911.83842990044
1585,142484.22472161008
1586,111687.73572220029
1587,140168.75473196403
1588,165508.07740385225
1589,153457.7961360766
1590,157226.7690801578
1591,138579.7771859937
1592,167557.60701047233
1593,142464.467274972
1594,194373.34851360493
1595,166989.85850416357
1596,210954.57728433015
1597,208038.54094992232
1598,172374.7259695017
1599,160362.24502564536
1600,170757.04483211235
1601,112656.24939402996
1602,154306.1329350544
1603,144309.27676495083
1604,203003.9565006489
1605,203567.604471998
1606,175276.50916374073
1607,239003.31705980955
1608,185640.767671186
1609,172121.86726892064
1610,158586.71313991977
1611,172820.6142705812
1612,190908.1213103315
1613,186405.75721455278
1614,144767.60034497362
1615,131817.9191273214
1616,131817.9191273214
1617,140052.5475308724
1618,142264.60338544296
1619,143546.99943362467
